BD,Address,Address2
ATB CAPITAL MARKETS USA INC.,"#410, 585 8TH AVENUE SW, CALGARY, T2P 1G1 CANADA",
AUSTIN ATLANTIC CAPITAL INC.,"1 ALHAMBRA PLAZA, SUITE 100, CORAL GABLES, FL 33134","1 ALHAMBRA PLAZA, SUITE 100, MIAMI, FL 33134"
NINTH ETERNITY SECURITIES LLC,"1 BROADWAY, 14TH FLOOR, CAMBRIDGE, MA 02142",
DEUTSCHE BANK SECURITIES INC.,"1 COLUMBUS CIRCLE, NEW YORK, NY 10019",
UNION SQUARE ADVISORS LLC,"1 EMBARCADERO CENTER, SUITE 950, SAN FRANCISCO, CA 94111",
"ETC BROKERAGE SERVICES, LLC","1 EQUITY WAY, WESTLAKE, OH 44145",
NICOL INVESTORS CORPORATION,"1 EXECUTIVE PARK, GRANITE CITY, IL 62040-0907","1 EXECUTIVE PARK, P.O. BOX 907, GRANITE CITY, IL 62040-0907"
"US CAPITAL GLOBAL SECURITIES, LLC","1 FERRY BUILDING, SUITE 201, SAN FRANCISCO, CA 94111",
"FIRST COMMAND BROKERAGE SERVICES, INC.","1 FIRSTCOMM PLAZA, FORT WORTH, TX 76109","P.O. BOX 2387, FORT WORTH, TX 76113"
"HUBBLE INVESTMENTS, LLC","1 FRANKLIN PARKWAY, BLDG # 930 /1 - FINTECH SUITE, SAN MATEO, CA 94403",
FTP SECURITIES LLC,"1 FRONT STREET, 31ST FLOOR, SAN FRANCISCO, CA 94111",
"VISION ONE PARTNERS, LLC","1 GRACIE SQUARE, NEW YORK, NY 10028",
ALIRA HEALTH,"1 GRANT STREET, FRAMINGHAM, MA 01702-6758",
"TALCOTT RESOLUTION DISTRIBUTION COMPANY, INC.","1 GRIFFIN ROAD NORTH, WINDSOR, CT 06095","1 GRIFFIN ROAD NORTH, LAW DEPARTMENT MAILSTOP S3001, WINDSOR, CT 06095"
MONTROSE SECURITIES INTERNATIONAL,"1 HARBOR DRIVE, SUITE 300, SAUSALITO, CA 94965",
"MANOR PRIVATE CAPITAL, LLC","1 HARBOR POINT ROAD, SUITE 800, STAMFORD, CT 06902",
BITOODA TECHNOLOGIES LLC,"1 HOME PLACE, UNIT A, GREENWICH, CT 06830",
BRONSON FINANCIAL LLC,"1 JENNER, SUITE 200, IRVINE, CA 92618",
"FLI INVESTORS, LLC","1 JERICHO PLAZA - SUITE 201, JERICHO, NY 11753-1673","1 JERICHO PLAZA - SUITE 201, JERICHO, NY 11753-1673"
"M&T SECURITIES, INC.","1 LIGHT STREET, BALTIMORE, MD 21202",
BRIGHTON HOUSE ASSOCIATES,"1 LINCOLN STREET, 24TH FLOOR, BOSTON, MA 02111",
OLD MISSION MARKETS LLC,"1 N. DEARBORN ST., 8TH FLOOR, CHICAGO, IL 60602",
PRICEWATERHOUSECOOOPERS CORPORATE FINANCE LLC,"1 N. WACKER DRIVE, 6TH FLOOR, CHICAGO, IL 60606",
M2O PRIVATE FUND ADVISORS LLC,"1 NORTH LEXINGTON AVE, SUITE 500, WHITE PLAINS, NY 10601",
"INTEGRITY FUNDS DISTRIBUTOR, LLC","1 NORTH MAIN STREET, MINOT, ND 58703-3189","PO BOX 500, MINOT, ND 58702-0500"
"WWF SECURITIES, LLC","1 PARK AVENUE, APT #1707, DETROIT, MI 48226",
LIME TRADING CORP,"1 PENN PLAZA, 16TH FL, NEW YORK, NY 10119",
TIFIN PRIVATE MARKETS LLC,"1 PENNSYLVANIA PLAZA, FL 39, NEW YORK, NY 10119",
"PRIMERICA BROKERAGE SERVICES, INC.","1 PRIMERICA PARKWAY, DULUTH, GA 30099",
PFS INVESTMENTS INC.,"1 PRIMERICA PARKWAY, DULUTH, GA 30099-0001",
EUROLINK SECURITIES LLC,"1 RADISSON PLAZA - SUITE 701, NEW ROCHELLE, NY 10801",
BTCO SECURITIES LLC,"1 ROCKEFELLER PLAZA, 28TH FLOOR, NEW YORK, NY 10020","1 ROCKEFELLER PLAZA, NEW YORK, NY 10020"
"FELDSTEIN FINANCIAL GROUP, LLC","1 SHADOWBROOK LANE, BASKING RIDGE, NJ 07920",
OASIS PRO MARKETS LLC,"1 THORNDAL CIRCLE, DARIEN, CT 06820",
TD PRIVATE CLIENT WEALTH LLC,"1 VANDERBILT AVENUE, 22ND FLOOR, NEW YORK, NY 10017",
TCG CAPITAL MARKETS L.L.C.,"1 VANDERBILT AVENUE, SUITE 3400, NEW YORK, NY 10017",
"CC CAPITAL ADVISORS, INC.","1 WARD PARKWAY, KANSAS CITY, MO 64112","P.O. BOX 410889, KANSAS CITY, MO 64141"
MARV CAPITAL INC.,"1 WEST END AVENUE, SUITE 11D, NEW YORK, NY 10023",
INTESA SANPAOLO IMI SECURITIES CORP.,"1 WILLIAM STREET, NEW YORK, NY 10004",
"CARTA CAPITAL MARKETS, LLC","1 WORLD TRADE CENTER, 285 FULTON STREET, 81ST FLOOR, NEW YORK, NY 10007",
PELOTON SECURITIES LLC,"10 COMMERCIAL ALLEY, SUITE 4, PORTSMOUTH, NH 03801",
"FUNDOPOLIS SECURITIES, LLC","10 CONVERSE PLACE, FLOOR 2- AD MELIORA SUITE, WINCHESTER, MA 01890",
CORPORATE FUEL SECURITIES LLC,"10 EAST 40TH STREET, SUITE 3210, NEW YORK, NY 10016",
"CHURCHILL CAPITAL USA, INC.","10 EAST 53RD STREET, 17TH FLOOR, NEW YORK, NY 10022",
OSCAR GRUSS & SON INCORPORATED,"10 EAST 53RD STREET, 17TH FLOOR, NEW YORK, NY 10022",
INVESTEC SECURITIES (US) LLC,"10 EAST 53RD STREET, 22ND FLOOR, NEW YORK, NY 10022","10 EAST 53RD STREET, 22ND FLOOR, NEW YORK, NY 10022"
SHELTER ROCK CAPITAL GROUP LLC,"10 EAST 53RD, SUITE 1200, NEW YORK, NY 10022",
"ROYAL ALLIANCE ASSOCIATES, INC.","10 EXCHANGE PLACE, SUITE 1410, JERSEY CITY, NJ 07302",
"CLEARVIEW TRADING ADVISORS, INC.","10 GLENWOOD ROAD, SUITE 904, TENAFLY, NJ 07670","10 GLENWOOD ROAD, TENAFLY, NJ 07670"
"FAMILY MANAGEMENT SECURITIES, LLC","10 GRAND CENTRAL, 155 EAST 44TH STREET - 21ST FLOOR, NEW YORK, NY 10017","10 GRAND CENTRAL, 155 EAST 44TH STREET - 21ST FLOOR, NEW YORK, NY 10022"
PARK AVENUE SECURITIES LLC,"10 HUDSON YARDS, NEW YORK, NY 10001",
DECHEQUE SECURITIES LLC,"10 MOSELEM SPRINGS CT, SKILLMAN, NJ 08558",
CELADON FINANCIAL GROUP LLC,"10 NORTH PARK PLACE, SUITE 420, MORRISTOWN, NJ 07960",
RUBICON CAPITAL ADVISORS,"10 PEMBROKE PLACE, BALLSBRIDGE, DUBLIN 4, D04 V1W6 IRELAND",
"EXEMPLAR CAPITAL, LLC","10 POST OFFICE SQUARE,, 8TH FL SOUTH, BOSTON, MA 02109",
"LBMZ SECURITIES, INC.","10 S RIVERSIDE PLAZA, SUITE 1600, CHICAGO, IL 60606",
"DRESNER INVESTMENT SERVICES, INC.","10 S. LASALLE SUITE 2170, CHICAGO, IL 60603",
UBS FUND SERVICES (USA) LLC,"10 STATE HOUSE SQUARE, 15TH FLOOR, HARTFORD, CT 06103-3604",
THEMIS TRADING LLC,"10 TOWN SQUARE, SUITE 100, CHATHAM, NJ 07928",
AMERA SECURITIES LLC,"10 VALLEY STREAM PARKWAY, SUITE 202, MALVERN, PA 19355",
"LUMENT SECURITIES, LLC","10 WEST BROAD STREET, 8TH FLOOR, COLUMBUS, OH 43215",
"NATIONWIDE SECURITIES, LLC","10 WEST NATIONWIDE BLVD, MAILING CODE: 5-02-302, COLUMBUS, OH 43215","ONE NATIONWIDE PLAZA, MAIL CODE: 01-33-401, COLUMBUS, OH 43215"
NATIONWIDE FUND DISTRIBUTORS LLC,"10 WEST NATIONWIDE BOULEVARD, MS: 5-02-210R, COLUMBUS, OH 43215","ONE NATIONWIDE PLAZA, MS: 5-02-210R, COLUMBUS, OH 43215"
WHITEMARSH CAPITAL ADVISORS,"10 WHITEMARSH COURT, MARLTON, NJ 08053",
ERNST & YOUNG CORPORATE FINANCE (CANADA) INC.,"100 ADELAIDE STREET WEST, EY TOWER, TORONTO, ONTARIO, M5H 0B3 CANADA","100 ADELAIDE STREET WEST, EY TOWER, PO BOX 1, TORONTO, ONTARIO, M5H 0B3 CANADA"
VIII CAPITAL CORP.,"100 ADELAIDE STREET WEST, SUITE 2900, TORONTO, M5H 1S3 CANADA",
"TWO SIGMA SECURITIES, LLC","100 AVENUE OF THE AMERICAS, 2ND FLOOR, NEW YORK, NY 10013","100 AVENUE OF THE AMERICAS, 2ND FLOOR, NEW YORK, NY 10013"
CONSENSYS DIGITAL SECURITIES LLC,"100 BOGART STREET, 3RD FLOOR, BROOKLYN, NY 11206",
"GREEN GIRAFFE SECURITIES, LLC","100 CAMBRIDGE STREET, 14TH FLOOR, BOSTON, MA 02114",
"SHASTA PARTNERS, LLC","100 CAMBRIDGE STREET, 14TH FLOOR, BOSTON, MA 02114",
"CONDUENT SECURITIES, LLC","100 CAMPUS DRIVE, SUITE 200E, FLORHAM PARK, NJ 07932",
"KEEL POINT CAPITAL, LLC","100 CHURCH STREET, SUITE 500, HUNTSVILLE, AL 35801",
"MERCER ALLIED COMPANY, L.P.","100 COLISEUM DRIVE, COHOES, NY 12047",
"SAGE, RUTTY & CO., INC.","100 CORPORATE WOODS, SUITE 300, ROCHESTER, NY 14623",
TEXAS CORPORATE CAPITAL ADVISORS,"100 CRESCENT COURT, SUITE 700, DALLAS, TX 75201",
SORSBY FINANCIAL CORP.,"100 E HURON ST, SUITE 3503, CHICAGO, IL 60611",
"T. ROWE PRICE INVESTMENT SERVICES, INC.","100 E PRATT ST, BALTIMORE, MD 21202",
"CAPITAL INVESTMENT BROKERAGE, INC.","100 E. SIX FORKS ROAD, STE 200, RALEIGH, NC 27609","P.O. BOX 32249, RALEIGH, NC 27622"
"CAPITAL INVESTMENT GROUP, INC.","100 E. SIX FORKS ROAD, STE 200, RALEIGH, NC 27609","P.O. BOX 32249, RALEIGH, NC 27622"
"CAROFIN, LLC","100 ELKS CLUB RD., BREVARD, NC 28712",
"CAROLINA FINANCIAL SECURITIES, LLC","100 ELKS CLUB RD., BREVARD, NC 28712","PO BOX 1076, BREVARD, NC 28712"
"APW CAPITAL, INC.","100 ENTERPRISE DRIVE, SUITE 504, ROCKAWAY, NJ 07866",
PUTNAM RETAIL MANAGEMENT LIMITED PARTNERSHIP,"100 FEDERAL STREET, BOSTON, MA 02110",
"THL CAPITAL MARKETS, LLC","100 FEDERAL STREET, BOSTON, MA 02110",
DWM FINANCE LLC,"100 FIRST STAMFORD PLACE 4TH FLOOR SUITE 450, STAMFORD, CT 06902",
"KAUFMAN & COMPANY, LLC","100 FRANKLIN STREET, STE. 403, BOSTON, MA 02110",
"SOVEREIGN LEGACY SECURITIES, INC.","100 GRAY FOX RUN, PINEHURST, NC 28374","P.O. BOX 2299, SOUTHERN PINES, NC 28388"
MADISON MARQUETTE SECURITIES LLC,"100 HIGH STREET, SUITE 410, BOSTON, MA 02110",
"DELAWARE DISTRIBUTORS, L.P.","100 INDEPENDENCE, 610 MARKET STREET, PHILADELPHIA, PA 19106-2354",
KW SECURITIES CORPORATION,"100 LARKSPUR LANDING CIRCLE, SUITE 200, LARKSPUR, CA 94939",
WILSON PARKER CONNALLY STEPHENSON INC,"100 LEXINGTON STREET, SUITE 150, FORT WORTH, TX 76102-2744",
"CADARET, GRANT & CO., INC.","100 MADISON STREET, SUITE 1300, SYRACUSE, NY 13202",
"LARSON FINANCIAL SECURITIES, LLC","100 N BROADWAY, SUITE 1700, SAINT LOUIS, MO 63102",
"SKYWAY CAPITAL MARKETS, LLC","100 NORTH TAMPA STREET, SUITE 3550, TAMPA, FL 33602",
JRL CAPITAL CORPORATION,"100 PACIFICA, SUITE 360, IRVINE, CA 92618",
"M STEVENS SECURITIES, LLC","100 PACIFICA, SUITE 475, IRVINE, CA 92618",
RPP SECURITIES,"100 PARK AVENUE, 16TH FLOOR, NEW YORK, NY 10017",
ABN AMRO SECURITIES (USA) LLC,"100 PARK AVENUE, 17 FLOOR, NEW YORK, NY 10017-5516",
"CION SECURITIES, LLC","100 PARK AVENUE, 25TH FLOOR, NEW YORK, NY 10017",
"FINANCIAL NORTHEASTERN SECURITIES, INC.","100 PASSAIC AVENUE, FAIRFIELD, NJ 07004",
"FRED ALGER & COMPANY, LLC","100 PEARL STREET, 27TH FLOOR, NEW YORK, NY 10004",
"SENTINEL SECURITIES, INC.","100 QUANNAPOWITT PKWY, SUITE 300, WAKEFIELD, MA 01880",
CONSENSUS SECURITIES LLC,"100 RIVER RIDGE DRIVE, SUITE 202, NORWOOD, MA 02062",
"WYSER-PRATTE & CO., INC.","100 S. BEDFORD ROAD, SUITE 312, MT. KISCO, NY 10549","100 S. BEDFORD ROAD, SUITE 312, MT. KISCO, NY 10549"
"NOVA CAPITAL SOLUTIONS, LLC","100 SE 3RD AVENUE, SUITE 1000, FORT LAUDERDALE, FL 33364",
UNIFIMONEY SECURITIES LLC,"100 SHORELINE HWY BUILDING B, SUITE 100, MILL VALLEY, CA 94941",
"KIPLING CAPITAL, INC.","100 SHORELINE HWY. 200-B, MILL VALLEY, CA 94941",
"WULFF, HANSEN & CO.","100 SMITH RANCH ROAD, SUITE 330, SAN RAFAEL, CA 94903",
"OLDEN LANE SECURITIES, LLC","100 SOMERSET CORPORATE BLVD, SUITE 101-2ND FLOOR, BRIDGEWATER, NJ 08807",
"OAKPOINT SOLUTIONS, LLC","100 SOUTH ASHLEY DRIVE, SUITE 1130, TAMPA, FL 33602",
JACK V. BUTTERFIELD INVESTMENT COMPANY,"100 SOUTH JACKSON, SUITE 100, JACKSON, MI 49201","P.O. BOX 4057, JACKSON, MI 49204"
"TRITON PACIFIC SECURITIES, LLC","100 SPECTRUM CENTER DR #440, IRVINE, CA 92618",
JCP SECURITIES,"100 SPECTRUM CENTER DRIVE, SUITE 460, IRVINE, CA 92618",
VALUABLE CAPITAL SECURITIES,"100 SPECTRUM CENTER DRIVE, SUITE 750, IRVINE, CA 92618",
"STERLING, GRACE MUNICIPAL SECURITIES CORPORATION","100 SUMMERHILL ROAD, SPOTSWOOD, NJ 08884-1278","100 SUMMERHILL ROAD, SPOTSWOOD, NJ 08884"
"LOCKEBRIDGE PARTNERS, INC","100 TRADECENTER, SUITE G-700, 100, WOBURN, MA 01801",
"AMD CAPITAL, LLC","100 TRI-STATE INTERNATIONAL, SUITE 245, LINCOLNSHIRE, IL 60069","100 TRI-STATE INTERNATIONAL, SUITE 138, LINCOLNSHIRE, IL 60069"
VANGUARD MARKETING CORPORATION,"100 VANGUARD BLVD, MALVERN, PA 19355","5951 LUCKETT COURT, SUITE A1, EL PASO, TX 79932-1882"
"BALLEW INVESTMENTS, INC.","100 VISION DRIVE, SUITE 325, JACKSON, MS 39211","P.O. BOX 14888, JACKSON, MS 39236-4888"
"CNS SECURITIES, LLC","100 W SCOTT ST, SHERMAN, TX 75092","100 W SCOTT ST, SHERMAN, TX 75092"
"SIEBERT WILLIAMS SHANK & CO., LLC","100 WALL STREET, 18TH FLOOR, NEW YORK, NY 10005",
"PHX FINANCIAL, INC.","100 WALL STREET, FLOOR 10, NEW YORK, NY 10005",
WALL STREET ACCESS,"100 WALL STREET, SUITE 804, NEW YORK, NY 10005",
PEP ADVISORY LLC,"100 WAUGH DRIVE, SUITE 600, HOUSTON, TX 77007",
EASTDIL SECURED ADVISORS LLC,"100 WILSHIRE BLVD, SUITE 1500, SANTA MONICA, CA 90401",
"GLOBALIST CAPITAL, LLC","100 WILSHIRE BLVD., SUITE 750, SANTA MONICA, CA 90401",
HUDSON CAPITAL ADVISORS BD LLC,"100 WILSHIRE BOULEVARD, SUITE 700, SANTA MONICA, CA 90401",
"TAYLOR SECURITIES, INC.","100 WINNERS CIRCLE N, SUITE 400, BRENTWOOD, TN 37027",
MORGAN PARTNERS LLC,"100 WORCESTER STREET, SUITE 202, WELLESLEY HILLS, MA 02481",
"CASCADIA CAPITAL, LLC","1000 2ND AVENUE, SUITE 1200, SEATTLE, WA 98104",
"CFS SECURITIES, INC.","1000 BRIDGEPORT AVENUE, SUITE 308, SHELTON, CT 06484",
PICTET OVERSEAS INC.,"1000 DE LA GAUCHETIERE WEST, SUITE 3100, MONTREAL, QC, H3B 4W5 CANADA",
TRANSACTIONDRIVERS LLC,"1000 MANNING AVENUE, LOS ANGELES, CA 90024",
FHN FINANCIAL SECURITIES CORP.,"1000 RIDGEWAY LOOP ROAD SUITE 200, MEMPHIS, TN 38120","1000 RIDGEWAY LOOP ROAD, SUITE 200, MEMPHIS, TN 38120"
JOSEPH GUNNAR & CO. LLC,"1000 RXR PLAZA, UNIONDALE, NY 11556",
SPARK CHANGE SECURITIES LLC,"1000 SECOND AVENUE, SUITE 3200, SEATTLE, WA 98104",
"COMHAR CAPITAL MARKETS, LLC","1000 SKOKIE BOULEVARD, SUITE LL33, WILMETTE, IL 60091","PO BOX 2326, GLENVIEW, IL 60025"
"MULTI-BANK SECURITIES, INC.","1000 TOWN CENTER #2300, SOUTHFIELD, MI 48075",
"CASCADE PARTNERS BD, LLC","1000 TOWN CENTER, SUITE 1100, SOUTHFIELD, MI 48075",
WEDBUSH SECURITIES INC.,"1000 WILSHIRE BLVD. SUITE 900, ATTN: COMPLIANCE, LOS ANGELES, CA 90017-2457",
SALIENT CAPITAL L.P.,"10000 MEMORIAL DRIVE, SUITE 650, HOUSTON, TX 77024",
VECTORGLOBAL WMG,"1001 BRICKELL BAY DRIVE, SUITE 1900, MIAMI, FL 33131",
"CALLAHAN FINANCIAL SERVICES, INC.","1001 CONNECTICUT AVE. NW, SUITE 1001, WASHINGTON, DC 20036",
JDL SECURITIES CORPORATION,"1001 DOVE STREET, SUITE 160, NEWPORT BEACH, CA 92660-2816",
HARRIS WILLIAMS,"1001 HAXALL POINT, 9TH FLOOR, RICHMOND, VA 23219",
FEDERATED INTERNATIONAL SECURITIES CORP.,"1001 LIBERTY AVENUE, PITTSBURGH, PA 15222-3779",
FEDERATED SECURITIES CORP.,"1001 LIBERTY AVENUE, PITTSBURGH, PA 15222-3779",
"PERKINS FUND MARKETING, L.L.C.","1001 N US HIGHWAY 1, SUITE 204, JUPITER, FL 33477",
PEI GLOBAL PARTNERS LLC,"1001 WATER STREET, SUITE 620, TAMPA, FL 33602",
WALLACHBETH CAPITAL LLC,"1001 YAMATO RD., SUITE 404, BOCA RATON, FL 33431",
XLII FINANCIAL SERVICES LLC,"10023 APPLE CREEK DRIVE, DALLAS, TX 75243",
UMERGENCE LLC,"1006 S. MAIN ST., PLANTSVILLE, CT 06479","1224 MILL STREET, BUILDING B, EAST BERLIN, CT 06023"
"NAVY FEDERAL INVESTMENT SERVICES, LLC","1007 ELECTRIC AVE, VIENNA, VA 22180",
GUZMAN & COMPANY,"101 ARAGON AVENUE, CORAL GABLES, FL 33134-5426",
"BROAD STREET CAPITAL MARKETS, LLC","101 CRAWFORDS CORNER RD, SUITE 4116, HOLMDEL, NJ 07733",
"GOLDEN GATE GLOBAL FINANCIAL, LLC","101 CRAWFORDS CORNER RD., SUITE 4116, HOLMDEL, NJ 07733",
"CEA ATLANTIC ADVISORS, LLC","101 EAST KENNEDY BOULEVARD; SUITE 3300, TAMPA, FL 33602",
LUMA SECURITIES LLC,"101 FIFTH AVENUE, SUITE 900, NEW YORK, NY 10003",
"MENALTO ADVISORS, LLC","101 JEFFERSON DR, MENLO PARK, CA 94025-1114",
LINQTO CAPITAL,"101 METRO DRIVE, SUITE 335, SAN JOSE, CA 95110",
G. A. REPPLE & COMPANY,"101 NORMANDY RD, CASSELBERRY, FL 32707",
"DAWSON JAMES SECURITIES, INC.","101 NORTH FEDERAL HIGHWAY, SUITE 600, BOCA RATON, FL 33432",
INNOVATION ADVISORS LLC,"101 PARK AVENUE, 38TH FLOOR, NEW YORK CITY, NY 10017","244 MADISON AVENUE, #385, NEW YORK CITY, NY 10016"
"MORETON CAPITAL MARKETS, LLC","101 S. 200 E. SUITE 300, SALT LAKE CITY, UT 84111","101 S 200 E. SUITE 300, SALT LAKE CITY, UT 84111"
"ERNST CAPITAL SECURITIES, LLC","101 S. REID STREET, SUITE 209, SIOUX FALLS, SD 57103",
"MOMENTUM CAPITAL MARKETS, LLC","101 SECOND STREET, SUITE 1275, SAN FRANCISCO, CA 94105",
SABLE CAPITAL LLC,"101 SOUTH TRYON STREET, SUITE 2555, CHARLOTTE, NC 28280",
"CLASS VI SECURITIES, LLC","101 UNIVERSITY BOULEVARD, SUITE 400, DENVER, CO 80206",
"RAFFERTY CAPITAL MARKETS, LLC","1010 FRANKLIN AVENUE, GARDEN CITY, NY 11530",
"JANSSEN PARTNERS, INC.","1010 NORTH B STREET, FAIRFIELD, IA 52556",
"IMPERIAL CAPITAL, LLC","10100 SANTA MONICA BLVD., SUITE 2400, LOS ANGELES, CA 90067",
"SIERRA PACIFIC SECURITIES, LLC","10100 W CHARLESTON AVE, SUITE 214, LAS VEGAS, NV 89135","10100 W. CHARLESTON SUITE 214, SUITE 214, LAS VEGAS, NV 89135"
16 POINTS LLC,"10101 COND ROYAL PALM, VEGA ALTA, PR 00692",
"CUSO FINANCIAL SERVICES, L.P.","10150 MEANLEY DRIVE, 1ST FLOOR, SAN DIEGO, CA 92131",
"SORRENTO PACIFIC FINANCIAL, LLC","10150 MEANLEY DRIVE, 1ST FLOOR, SAN DIEGO, CA 92131",
L.M. KOHN & COMPANY,"10151 CARVER RD., SUITE 100, CINCINNATI, OH 45242",
"COMMONWEALTH ADVISORS, INC.","1017 MUMMA ROAD, SUITE 302, LEMOYNE, PA 17043",
"MAFG RIA SERVICES, INC.","102 GAITHER DRIVE, SUITE 5, MT. LAUREL, NJ 08054",
"SENTINEL BROKERS COMPANY, INC.","102 XANADU PLACE, JUPITER, FL 33477",
"R.M. DUNCAN SECURITIES, INC.","10201 W MARKHAM ST, SUITE 219, LITTLE ROCK, AR 72205",
DIGITAL CAPITAL MARKETS LLC,"10211 FLEMING AVENUE, BETHESDA, MD 20814",
NEXT TITAN CAPITAL,"1023 WALNUT STREET, BOULDER, CO 80302",
BLUEPOST CAPITAL,"10236 VISTADALE DRIVE, DALLAS, TX 75238",
LONG NECK SERVICES LLC,"1025 BOSTON POST ROAD, SUITE 200, DARIEN, CT 06820",
"HOULIHAN LOKEY CAPITAL, INC.","10250 CONSTELLATION BOULEVARD, 5TH FLOOR, LOS ANGELES, CA 90067",
FOUNDERS FINANCIAL SECURITIES LLC,"1026 CROMWELL BRIDGE ROAD, SUITE 100, TOWSON, MD 21286",
"AGECROFT PARTNERS, LLC","103 CANTERBURY ROAD, RICHMOND, VA 23221-3211",
"FIRST CRAFT SECURITIES, LLC","103 MULBERRY STREET, ST. MICHAELS, MD 21663","P.O. BOX 901, ST. MICHAELS, MD 21663"
"SUNSTREET SECURITIES, LLC","10320 W. MCDOWELL RD, BLDG F, SUITE 6018, AVONDALE, AZ 85392",
"SAFENED US, INC.","104 WEST 40TH STREET, OFFICE 432, NEW YORK, NY 10018",
"INVESTMENTS FOR YOU, INC.","1040 N. MAPLE STREET, MARYSVILLE, OH 43040",
"EVERGREEN ADVISORS CAPITAL, LLC","10440 LITTLE PATUXENT PARKWAY, 12TH FLOOR, COLUMBIA, MD 21044","10440 LITTLE PATUXENT PARKWAY, COLUMBIA, MD 21044"
"ABG, LLC","1049 5TH AVENUE, #5A, NEW YORK, NY 10028",
DEALMAKER SECURITIES,"105 MAXESS ROAD, SUITE 124, MELVILLE, NY 11747",
ZENITH SECURITIES LLC,"105 MAXESS ROAD, SUITE S125, MELVILLE, NY 11747",
"HEDGECO SECURITIES, LLC","105 NARCISSUS AVENUE, SUITE 701, WEST PALM BEACH, FL 33401-5322",
SCULLY CAPITAL SECURITIES CORP.,"1050 CONNECTICUT AVENUE NW, SUITE 500, WASHINGTON, DC 20036",
"AMERICAN WEALTH MANAGEMENT, INC.","1050 CROWN POINTE PARKWAY SUITE 1230, ATLANTA, GA 30338",
"EXCHANGERIGHT SECURITIES, LLC","1055 E. COLORADO BLVD., SUITE 310, PASADENA, CA 91106",
"LIGHTHOUSE CAPITAL GROUP, LLC","1055 E. COLORADO BLVD., SUITE 310, PASADENA, CA 91106",
LPL ENTERPRISE,"1055 LPL WAY, FORT MILL, SC 29715",
LPL FINANCIAL LLC,"1055 LPL WAY, FORT MILL, SC 29715",
"TIMOTHY PARTNERS, LTD.","1055 MAITLAND CENTER COMMONS, MAITLAND, FL 32751",
"COMPASS POINT RESEARCH & TRADING, LLC","1055 THOMAS JEFFERSON STREET, NW, SUITE 303, WASHINGTON, DC 20007",
"BRINKER CAPITAL SECURITIES, LLC","1055 WESTLAKES DRIVE, SUITE 250, BERWYN, PA 19312",
WOODLANDS SECURITIES CORPORATION,"10655 SIX PINES DR STE 100, THE WOODLANDS, TX 77380",
"GLAUCON CAPITAL PARTNERS, L.L.C.","107 12TH AVENUE EAST, PALMETTO, FL 34221",
ATOMIC BROKERAGE LLC,"107 GREENWICH STREET, 21ST FLOOR, NEW YORK, NY 10006",
"SFA FINANCIAL, LLC","107 MANLY STREET, GREENVILLE, SC 29601",
"PEAK BROKERAGE SERVICES, LLC","1070 EAST INDIANTOWN ROAD, SUITE 208 - 210, JUPITER, FL 33477-9999",
"MILESTONE INVESTMENTS, INC.","10700 SIKES PLACE, SUITE 315, CHARLOTTE, NC 28277-0729",
INTEGRAL FINANCIAL LLC,"1072 SOUTH DE ANZA BLVD. SUITE # A 205, SAN JOSE, CA 95129",
"RKCA, INC.","1077 CELESTIAL STREET, CINCINNATI, OH 45202",
SENATE SECURITIES,"108 NORTH FRONT STREET, KINGSTON, NY 12401","253 WALL STREET, P.O. BOX 3576, KINGSTON, NY 12402"
"LIEBLONG & ASSOCIATES, INC.","10809 EXECUTIVE CENTER DRIVE, SUITE 117, LITTLE ROCK, AR 72211","P.O. BOX 24520, LITTLE ROCK, AR 72221"
"FINANCIAL SENSE SECURITIES, INC.","10809 THORNMINT ROAD, 2ND FLOOR, SAN DIEGO, CA 92127","P.O. BOX 503147, SAN DIEGO, CA 92150-3147"
"PACIFIC GATE ADVISORS, LLC","1086 HAMER COURT, BRENTWOOD, TN 37027","9005 OVERLOOK BLVD, BRENTWOOD, TN 37027"
"CORE FINANCIAL, LLC","1086 N. FOURTH STREET - SUITE 108, COLUMBUS, OH 43201",
WELLESLEY HILLS SECURITIES,"1087 BEACON STREET, SUITE 204, NEWTON, MA 02459",
KOPENTECH CAPITAL MARKETS LLC,"10880 WILSHIRE BOULEVARD, SUITE 1101, LOS ANGELES, CA 90024",
"ROCKET DOLLAR CAPITAL, LLC","10900 STONELAKE BLVD, BUILDING 2, SUITE 100, AUSTIN, TX 78759",
FELTL & COMPANY,"10900 WAYZATA BOULEVARD, SUITE 200, MINNETONKA, MN 55305","10900 WAYZATA BOULEVARD, SUITE 200, MINNETONKA, MN 55305"
"AUGEO ADVISORS, LLC","10940 WILSHIRE BLVD., 16TH FLOOR, LOS ANGELES, CA 90024",
LLOYDS SECURITIES,"1095 AVENUE OF THE AMERICAS, NEW YORK, NY 10036",
STANDARD CHARTERED SECURITIES NORTH AMERICA LLC,"1095 AVENUE OF THE AMERICAS, NEW YORK, NY 10036",
"PACIFIC FINANCIAL ASSOCIATES, INC.","10967 NW 61ST CT, PARKLAND, FL 33076",
"INTEGRIS SECURITIES, LLC","1099 18TH STREET, SUITE 2750, DENVER, CO 80202",
"DYNAMEX TRADING, LLC","11 BROADWAY, SUITE 360, NEW YORK, NY 10004",
"FGC SECURITIES, LLC","11 BROADWAY, SUITE 615, NEW YORK, NY 10004",
